Date,End,Sleep quality,Time in bed
11/12/18,11/12/18,5%,0:25
11/12/18,11/13/18,88%,7:57
11/13/18,11/14/18,73%,7:57
11/14/18,11/15/18,74%,6:41
11/15/18,11/16/18,64%,6:57
11/18/18,11/19/18,64%,7:27
11/19/18,11/20/18,73%,6:40
11/22/18,11/22/18,35%,4:06
11/24/18,11/24/18,6%,0:28
11/25/18,11/26/18,68%,7:25
11/26/18,11/27/18,68%,7:40
11/27/18,11/28/18,90%,7:32
11/28/18,11/29/18,77%,6:50
11/29/18,11/30/18,67%,6:18
12/2/18,12/3/18,90%,7:16
12/3/18,12/4/18,90%,8:05
12/4/18,12/5/18,81%,6:57
12/5/18,12/6/18,81%,6:52
12/6/18,12/7/18,89%,6:54
12/9/18,12/10/18,94%,7:19
12/10/18,12/11/18,86%,6:40
12/11/18,12/12/18,92%,7:09
12/12/18,12/13/18,65%,6:35
12/13/18,12/14/18,75%,7:40
12/16/18,12/17/18,82%,7:23
12/17/18,12/18/18,71%,6:51
12/18/18,12/19/18,99%,8:08
12/19/18,12/20/18,83%,7:21
12/20/18,12/21/18,81%,7:01
1/2/19,1/3/19,68%,6:51
1/3/19,1/4/19,43%,7:00
1/6/19,1/7/19,85%,6:45
1/7/19,1/8/19,84%,7:46
1/8/19,1/8/19,3%,0:15
1/8/19,1/9/19,91%,7:57
1/9/19,1/10/19,87%,6:44
1/10/19,1/11/19,91%,7:05
1/12/19,1/13/19,97%,7:42
1/13/19,1/14/19,85%,8:18
1/14/19,1/15/19,100%,8:17
1/15/19,1/16/19,70%,6:36
1/16/19,1/17/19,93%,7:12
1/17/19,1/18/19,81%,6:31
1/20/19,1/21/19,89%,8:22
1/21/19,1/22/19,83%,8:13
1/22/19,1/23/19,85%,7:11
1/23/19,1/24/19,88%,8:12
1/24/19,1/25/19,91%,7:04
1/26/19,1/27/19,100%,9:03
1/27/19,1/28/19,74%,7:26
1/28/19,1/29/19,97%,7:40
1/29/19,1/30/19,74%,7:29
1/30/19,1/30/19,3%,0:15
1/30/19,1/31/19,67%,7:23
1/31/19,2/1/19,78%,7:06
2/3/19,2/3/19,8%,0:38
2/3/19,2/4/19,71%,6:20
2/4/19,2/5/19,65%,7:45
2/5/19,2/6/19,74%,6:36
2/6/19,2/6/19,10%,0:47
2/6/19,2/7/19,59%,7:45
2/7/19,2/8/19,81%,7:47
2/10/19,2/11/19,96%,8:25
2/11/19,2/12/19,77%,7:34
2/12/19,2/13/19,97%,7:40
2/13/19,2/14/19,90%,8:23
2/14/19,2/15/19,70%,6:30
