Date,Type,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft)
7/1/16,Walking,0.5,20:40,41:41:00,1.44,75,0
8/4/18,Running,2.39,24:07:00,10:05,5.95,408,98
8/13/18,Running,2.19,22:55,10:28,5.73,362,33
8/18/18,Running,2.41,24:57:00,10:22,5.79,409,98
6/22/16,Walking,0.31,13:07,42:59:00,1.4,47,0
8/19/18,Running,2.28,23:06,10:09,5.91,391,101
6/19/16,Walking,0.47,13:07,27:58:00,2.15,61,0
6/17/16,Walking,0.35,13:01,37:14:00,1.61,50,0
8/21/18,Running,2.37,24:28:00,10:19,5.81,406,101
8/28/18,Running,2.31,29:31:00,12:48,4.69,380,108
9/1/18,Running,2.78,32:57:00,11:52,5.06,440,112
9/2/18,Running,2.39,24:49:00,10:24,5.77,395,103
9/8/18,Running,2.26,23:30,10:24,5.77,373,83
9/10/18,Running,2.27,22:19,9:51,6.1,390,98
9/11/18,Running,2.3,23:07,10:04,5.96,395,101
9/16/18,Running,3.94,1:02:43,15:56,3.77,538,166
9/17/18,Running,2.17,22:37,10:24,5.77,361,32
9/18/18,Running,2.26,22:19,9:54,6.06,389,98
9/22/18,Running,3.34,32:28:00,9:44,6.17,568,113
9/23/18,Running,1.62,18:46,11:34,5.19,257,25
9/23/18,Running,2.43,24:48:00,10:12,5.88,425,142
9/28/18,Running,2.47,25:52:00,10:29,5.72,417,141
9/30/18,Running,3.05,30:56:00,10:09,5.91,528,159
10/1/18,Running,2.27,20:47,9:09,6.55,390,98
10/2/18,Running,2.27,23:06,10:12,5.89,385,98
10/7/18,Running,2.35,22:45,9:42,6.19,402,101
10/8/18,Running,2.18,22:21,10:16,5.85,375,96
10/18/18,Running,2.28,22:28,9:52,6.08,390,103
10/20/18,Running,2.13,21:07,9:55,6.05,360,79
10/27/18,Running,2.39,21:20,8:57,6.71,403,101
11/3/18,Running,2.38,23:05,9:41,6.19,396,37
11/6/18,Running,2.33,22:38,9:44,6.16,394,101
11/10/18,Running,3.02,28:43:00,9:31,6.3,515,115
11/17/18,Running,3.63,46:21:00,12:47,4.69,560,167
11/21/18,Running,2.38,23:44,10:00,6,409,99
12/8/18,Running,2.3,27:54:00,12:09,4.94,371,107
12/16/18,Running,2.35,22:37,9:38,6.23,403,99
1/4/19,Running,2.28,23:40,10:22,5.79,388,98
1/6/19,Running,2.28,22:18,9:47,6.14,391,102
3/17/19,Running,2.27,23:11,10:15,5.86,387,101
3/21/19,Running,2.57,30:08:00,11:45,5.11,419,145
3/26/19,Running,2.29,22:51,10:00,6,391,101
3/28/19,Running,2.37,23:24,9:52,6.08,407,102
4/1/19,Running,2.28,22:23,9:49,6.11,392,100
4/6/19,Running,3.59,39:21:00,10:57,5.48,616,161
4/17/19,Running,2.38,23:28,9:51,6.09,395,37
5/4/19,Running,2.41,23:41,9:51,6.1,412,103
5/5/19,Running,2.33,23:31,10:07,5.93,397,102
5/8/19,Running,2.26,23:12,10:17,5.83,384,97
5/9/19,Running,2.59,26:43:00,10:18,5.82,443,130
5/13/19,Running,2.28,21:24,9:23,6.4,392,97
5/25/19,Running,3.96,1:00:22,15:14,3.94,575,217
5/27/19,Running,2.3,28:51:00,12:32,4.79,363,107
5/27/19,Running,0,0:58,,,0.448,0
6/4/19,Running,2.02,21:52,10:50,5.54,290.312,156
6/5/19,Running,2.28,23:41,10:23,5.78,320.612,198
